rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,risk_level
20.76,91.95,27.0,89.0,29.6,374.8,12.56,0.49,0.184,3911.0,1
3.98,13.02,34.7,56.2,11.6,260.4,0.57,0.248,0.026,1600.0,0
17.85,98.92,27.8,57.9,12.5,233.5,10.33,0.386,0.198,100.0,0
27.07,200.54,22.9,92.8,16.1,74.5,6.78,0.1,0.401,2321.0,1
37.68,271.32,33.7,90.0,0.2,276.9,7.11,0.353,0.543,2092.0,1
9.19,48.17,31.5,75.6,7.5,106.4,5.95,0.507,0.096,293.0,0
41.47,230.19,35.6,83.4,1.6,51.1,6.07,0.327,0.46,100.0,1
13.79,46.69,27.0,87.1,18.4,310.8,3.64,0.232,0.093,278.0,0
18.24,121.79,22.7,99.9,40.6,205.8,2.73,0.386,0.244,5494.0,1
26.94,208.83,29.8,98.8,2.7,241.0,4.41,0.073,0.418,173.0,1
11.23,82.7,29.2,90.5,3.1,324.5,3.06,0.117,0.165,2058.0,0
30.3,91.97,26.4,95.4,9.6,10.0,1.66,0.09,0.184,1392.0,2
11.95,82.24,23.8,43.9,10.0,10.0,0.32,0.013,0.164,100.0,2
66.15,383.73,18.6,83.8,59.7,59.3,5.31,0.314,0.767,2814.0,1
4.04,12.57,42.5,83.2,8.1,18.6,5.76,0.317,0.025,2346.0,1
24.61,140.71,27.5,69.1,2.7,582.6,9.48,0.403,0.281,2365.0,1
14.37,101.05,21.9,67.6,0.8,308.6,1.12,0.199,0.202,2198.0,0
21.55,82.08,37.5,73.5,12.1,19.8,2.11,0.217,0.164,1803.0,1
9.57,65.85,25.2,97.9,3.4,148.2,1.69,0.208,0.132,1512.0,0
15.23,57.72,33.9,59.0,29.2,473.2,1.62,0.401,0.115,6733.0,1
7.51,52.54,25.6,98.1,29.2,25.0,6.73,0.123,0.105,17507.0,0
11.15,42.51,28.2,71.6,19.1,441.9,0.41,0.198,0.085,2335.0,1
28.51,226.36,26.2,94.1,15.8,75.4,1.47,0.273,0.453,360.0,2
2.12,8.91,25.6,67.0,20.7,210.6,4.85,0.142,0.018,3017.0,0
22.55,104.31,35.4,81.2,1.1,38.4,9.68,0.407,0.209,3554.0,1
4.85,23.31,36.7,94.2,4.0,329.4,0.3,0.138,0.047,556.0,0
11.85,62.83,30.1,91.9,11.9,95.7,18.82,0.33,0.126,7506.0,0
2.73,17.83,33.1,98.9,14.6,163.8,4.95,0.429,0.036,384.0,0
5.54,16.96,40.5,68.1,5.4,182.4,1.76,0.53,0.034,5737.0,0
8.02,37.72,35.4,57.1,8.4,62.3,7.78,0.422,0.075,2010.0,0
1.97,14.88,32.7,80.2,26.5,422.4,4.24,0.007,0.03,4460.0,0
8.34,31.87,36.6,78.4,16.9,28.2,1.33,0.24,0.064,940.0,1
1.47,6.29,17.5,61.7,9.6,10.0,0.75,0.487,0.013,988.0,1
14.54,44.01,34.5,74.3,10.8,69.5,13.42,0.166,0.088,1270.0,0
17.1,53.85,23.5,80.5,0.7,119.8,13.26,0.319,0.108,3335.0,0
18.73,85.14,25.1,55.5,0.9,185.2,5.8,0.376,0.17,387.0,0
1.47,5.01,14.7,61.3,42.6,220.9,5.68,0.668,0.01,7335.0,0
3.35,12.94,36.0,71.8,26.5,948.0,8.57,0.718,0.026,1529.0,0
2.63,15.21,37.3,60.6,19.6,211.3,9.34,0.091,0.03,1097.0,0
17.85,73.73,22.4,74.8,21.4,20.8,11.02,0.034,0.147,2238.0,1
3.65,18.81,27.6,48.6,33.1,84.9,0.84,0.286,0.038,223.0,0
18.13,63.56,28.6,90.5,13.0,164.1,0.56,0.442,0.127,314.0,1
0.63,3.11,30.5,49.6,0.4,282.3,3.07,0.381,0.006,1130.0,0
11.74,93.65,22.8,76.4,2.5,10.0,17.66,0.279,0.187,553.0,0
35.87,186.62,30.4,58.1,4.5,43.3,0.3,0.144,0.373,1280.0,2
3.0,15.65,26.8,64.1,76.4,424.6,4.88,0.734,0.031,121.0,0
24.82,187.0,31.0,47.9,13.5,182.8,2.18,0.188,0.374,178.0,0
41.93,323.68,27.3,98.9,9.9,398.4,4.44,0.16,0.647,1466.0,2
50.2,241.53,24.1,83.5,33.7,121.8,2.93,0.324,0.483,16658.0,1
11.57,83.68,27.2,70.6,14.8,521.8,0.1,0.306,0.167,433.0,1
20.68,146.83,33.7,60.0,19.8,150.4,7.88,0.632,0.294,8298.0,0
29.06,210.08,23.4,69.3,1.2,104.7,2.61,0.383,0.42,8852.0,1
0.12,0.43,26.2,92.1,17.2,24.0,9.23,0.432,0.001,3298.0,1
5.29,23.3,33.0,59.3,9.7,51.2,5.11,0.425,0.047,393.0,0
25.44,186.63,35.2,67.2,25.8,161.8,5.07,0.007,0.373,1027.0,0
14.69,54.55,23.6,69.8,5.0,28.7,4.97,0.499,0.109,2147.0,1
25.11,149.83,34.7,93.7,13.1,125.8,2.08,0.411,0.3,7132.0,1
11.38,85.89,30.3,45.4,17.4,136.2,2.45,0.207,0.172,10148.0,1
60.23,392.23,23.1,57.9,1.7,304.5,5.17,0.284,0.784,1701.0,1
2.35,14.52,26.3,73.1,8.1,254.3,2.32,0.24,0.029,4208.0,0
7.0,25.78,35.8,79.1,20.1,75.9,5.18,0.588,0.052,1017.0,1
21.98,156.45,29.4,46.0,17.5,55.4,12.1,0.465,0.313,3998.0,1
15.14,90.47,28.5,40.6,9.4,662.1,3.66,0.069,0.181,2210.0,0
38.92,228.7,26.8,62.1,3.0,114.4,2.02,0.232,0.457,2536.0,1
21.75,124.91,32.4,92.8,16.9,158.4,8.85,0.052,0.25,6891.0,0
5.18,21.93,38.0,68.4,0.9,633.0,14.3,0.245,0.044,236.0,0
4.59,30.41,29.4,77.2,34.0,375.7,1.89,0.394,0.061,4980.0,0
49.9,222.16,33.9,82.5,1.0,31.9,0.1,0.369,0.444,2263.0,2
8.75,67.75,27.1,97.7,14.5,528.1,7.15,0.087,0.136,5984.0,0
1.03,7.4,25.4,97.6,3.3,604.9,26.31,0.348,0.015,1723.0,0
3.87,15.77,30.0,40.8,0.2,353.7,6.59,0.592,0.032,10239.0,0
38.51,264.41,21.7,67.5,22.8,644.6,7.21,0.103,0.529,1420.0,1
32.67,105.53,30.1,88.5,2.9,144.6,8.26,0.204,0.211,100.0,0
3.34,26.56,28.0,70.8,9.9,201.8,0.48,0.366,0.053,2919.0,0
5.78,33.64,24.0,61.5,16.0,55.0,1.06,0.073,0.067,578.0,1
22.76,93.87,38.1,73.8,8.4,79.0,9.15,0.136,0.188,1537.0,1
30.32,163.15,27.1,69.9,3.4,178.9,1.03,0.448,0.326,215.0,1
42.32,224.3,24.1,89.5,10.9,124.5,0.23,0.467,0.449,2278.0,2
10.78,60.48,32.0,43.3,54.2,51.3,1.81,0.17,0.121,10220.0,1
26.31,163.24,36.9,76.6,34.0,340.8,1.46,0.222,0.326,1561.0,1
9.99,59.48,23.1,79.7,1.2,157.3,6.18,0.401,0.119,130.0,0
8.98,69.55,22.5,73.6,22.8,246.5,0.94,0.458,0.139,310.0,0
50.76,328.6,26.9,83.7,29.7,64.1,8.23,0.281,0.657,5825.0,2
28.94,183.92,37.8,58.7,9.9,141.3,2.45,0.335,0.368,308.0,1
13.91,90.82,41.7,65.8,5.5,131.7,0.63,0.36,0.182,2943.0,1
41.02,261.05,24.1,77.5,12.7,357.7,11.83,0.424,0.522,1017.0,1
4.25,21.5,28.9,96.1,8.4,420.7,4.65,0.27,0.043,3395.0,0
1.16,5.67,29.0,80.3,15.0,44.4,2.71,0.372,0.011,1697.0,0
0.23,1.21,24.8,98.6,1.6,158.7,19.31,0.082,0.002,2200.0,0
6.14,24.72,17.5,57.2,16.0,691.8,4.63,0.296,0.049,2932.0,0
16.12,100.08,26.4,82.2,7.0,165.9,3.0,0.24,0.2,100.0,0
2.49,13.06,20.2,96.3,0.1,295.9,4.91,0.326,0.026,8259.0,0
11.97,93.19,25.0,63.9,27.5,41.8,5.58,0.276,0.186,7379.0,1
5.99,30.97,38.5,78.3,4.2,250.4,0.48,0.431,0.062,857.0,0
0.32,1.08,31.4,94.7,6.6,110.6,1.21,0.339,0.002,6488.0,1
34.63,265.39,19.6,77.0,20.4,267.8,3.68,0.236,0.531,2319.0,1
40.08,303.64,26.7,91.6,0.5,309.6,2.65,0.236,0.607,2297.0,2
55.07,182.82,24.7,66.6,0.3,71.6,3.49,0.315,0.366,4337.0,1
0.23,1.17,27.9,95.4,1.8,145.3,7.72,0.331,0.002,100.0,0
14.47,82.17,19.9,89.7,23.4,73.6,12.25,0.155,0.164,8497.0,0
7.67,57.68,19.8,44.7,26.5,85.8,3.69,0.286,0.115,1606.0,0
18.86,71.7,22.1,81.6,3.9,25.0,0.9,0.257,0.143,528.0,1
8.47,42.95,33.5,83.9,32.0,25.9,5.03,0.12,0.086,548.0,1
9.92,41.38,34.1,64.9,8.4,155.7,5.96,0.566,0.083,6133.0,0
0.45,3.46,20.2,81.8,10.3,541.0,2.89,0.231,0.007,3408.0,0
14.18,72.25,27.7,73.6,14.9,233.4,1.46,0.14,0.145,5168.0,0
13.28,61.97,38.6,87.5,9.0,40.5,9.65,0.177,0.124,4882.0,0
6.59,26.64,27.8,50.9,20.4,376.7,3.94,0.134,0.053,790.0,0
16.38,75.43,10.5,53.2,6.5,93.2,0.36,0.428,0.151,3701.0,1
9.54,68.25,25.7,77.9,1.5,21.9,0.25,0.287,0.136,1293.0,1
28.42,87.33,14.7,52.4,18.7,97.8,5.43,0.226,0.175,2790.0,0
21.23,158.1,39.2,49.4,9.6,252.0,1.58,0.569,0.316,1659.0,1
14.15,55.73,23.3,44.6,17.9,96.5,8.63,0.368,0.111,920.0,0
27.59,113.79,35.8,67.8,4.9,212.7,8.68,0.229,0.228,12278.0,0
24.01,116.25,31.2,65.9,0.5,60.1,0.17,0.18,0.232,3297.0,1
11.21,44.89,38.4,66.2,16.5,19.8,6.89,0.129,0.09,1149.0,1
0.45,2.18,20.9,87.0,12.5,75.0,5.31,0.242,0.004,5444.0,0
0.11,0.82,17.5,63.4,1.1,203.4,6.6,0.067,0.002,6084.0,0
52.94,249.33,21.6,71.7,3.6,1086.6,19.85,0.375,0.499,164.0,1
35.78,172.16,29.2,43.3,15.5,731.8,0.36,0.291,0.344,685.0,1
12.15,76.99,31.6,90.2,2.8,10.0,7.55,0.404,0.154,9726.0,1
20.38,158.3,29.3,90.0,15.4,16.4,6.75,0.263,0.317,787.0,1
18.67,138.26,32.5,93.0,16.1,47.5,9.94,0.221,0.277,4868.0,1
4.48,18.27,33.2,77.1,42.4,299.1,0.68,0.756,0.037,6674.0,0
1.78,8.77,20.5,44.3,3.6,52.1,3.17,0.214,0.018,10844.0,0
3.63,12.97,31.3,53.2,0.3,350.5,2.28,0.074,0.026,1953.0,0
14.08,52.4,37.0,77.4,4.8,133.8,0.43,0.055,0.105,1627.0,0
4.23,20.04,29.3,79.9,3.3,10.0,0.68,0.265,0.04,3202.0,1
36.43,175.13,25.9,91.6,7.8,79.6,3.03,0.169,0.35,579.0,1
26.65,148.32,26.4,98.2,40.4,270.7,1.64,0.441,0.297,2025.0,1
34.94,154.74,29.4,95.6,52.6,169.4,0.77,0.51,0.309,2441.0,2
17.03,79.84,28.8,71.3,13.3,278.6,4.88,0.066,0.16,925.0,0
8.65,30.02,24.8,69.2,38.0,10.0,1.72,0.227,0.06,1884.0,1
24.25,147.33,28.5,82.2,41.0,94.3,6.16,0.385,0.295,3120.0,1
19.1,144.24,32.5,70.6,10.4,10.3,0.18,0.524,0.288,153.0,2
29.69,224.89,25.5,51.3,38.3,237.9,4.72,0.45,0.45,5824.0,1
52.44,253.27,34.7,65.9,1.4,66.5,2.71,0.248,0.507,3041.0,2
18.91,120.87,22.0,59.1,28.3,588.1,10.81,0.098,0.242,100.0,0
24.5,149.78,24.4,66.6,4.5,84.1,9.0,0.271,0.3,191.0,0
5.49,35.95,21.1,56.4,6.3,119.1,12.22,0.066,0.072,366.0,0
1.14,3.47,31.8,64.7,7.7,431.8,11.3,0.073,0.007,634.0,0
56.34,339.12,21.4,91.8,25.9,38.1,3.33,0.399,0.678,3971.0,2
3.59,12.87,33.5,60.6,19.8,215.0,13.41,0.151,0.026,1530.0,0
57.17,195.18,32.9,55.2,22.7,20.8,0.39,0.176,0.39,6781.0,2
26.85,84.92,30.5,46.2,2.8,167.9,1.76,0.067,0.17,3533.0,1
4.92,39.14,21.5,81.3,34.2,273.4,0.4,0.348,0.078,2445.0,0
1.77,9.44,30.5,68.9,27.6,50.0,2.4,0.293,0.019,1084.0,1
0.34,2.16,27.1,76.1,41.5,74.7,1.44,0.295,0.004,5590.0,1
10.81,38.73,34.5,76.8,41.8,216.8,0.4,0.65,0.077,5057.0,0
11.53,86.44,27.6,85.0,11.4,154.3,1.63,0.299,0.173,7134.0,0
4.97,27.8,17.5,82.6,1.5,76.5,17.32,0.226,0.056,1874.0,0
20.18,124.09,36.8,71.9,17.0,111.9,6.57,0.167,0.248,5587.0,0
2.28,15.58,26.5,70.0,8.5,57.4,3.96,0.37,0.031,2459.0,0
0.13,1.01,27.4,83.7,6.4,222.4,8.18,0.216,0.002,13917.0,0
120.84,477.99,25.2,67.6,8.5,72.6,1.1,0.624,0.956,420.0,3
28.32,212.09,26.8,46.0,0.3,216.8,4.61,0.182,0.424,7830.0,1
52.32,212.88,25.0,65.2,0.1,390.3,6.57,0.164,0.426,2506.0,1
15.71,68.77,21.9,94.3,7.0,159.6,0.26,0.36,0.138,769.0,1
1.83,6.32,30.8,51.6,0.8,196.9,1.69,0.226,0.013,4270.0,0
8.14,40.49,20.6,74.3,24.6,285.6,0.84,0.366,0.081,3415.0,0
35.13,208.12,19.9,60.3,24.4,56.6,18.66,0.166,0.416,353.0,1
5.5,35.01,31.1,89.5,7.6,34.0,6.7,0.563,0.07,14711.0,0
14.05,50.38,33.4,50.1,6.5,286.8,3.54,0.124,0.101,3284.0,0
0.48,2.45,24.1,46.0,13.9,148.3,1.46,0.35,0.005,4555.0,1
5.83,42.75,27.8,46.2,2.0,774.1,5.6,0.143,0.086,2773.0,0
17.13,88.14,33.5,53.6,17.7,53.1,4.91,0.14,0.176,138.0,1
115.59,452.78,22.1,75.6,7.9,27.0,0.14,0.393,0.906,4508.0,3
15.89,61.54,34.0,97.9,0.8,442.2,4.3,0.139,0.123,2756.0,0
32.21,235.61,28.0,49.0,28.6,952.4,6.49,0.048,0.471,2611.0,1
0.02,0.1,31.9,78.0,13.5,10.0,6.52,0.086,0.0,434.0,0
35.62,270.42,39.6,79.0,1.6,102.8,6.53,0.188,0.541,1323.0,1
3.21,11.1,36.0,63.0,16.5,899.0,1.28,0.43,0.022,5311.0,0
11.74,66.46,27.6,92.4,81.3,174.8,8.37,0.167,0.133,3439.0,0
23.73,114.44,33.1,47.2,12.8,59.3,8.15,0.374,0.229,1102.0,1
19.2,139.2,34.6,51.8,2.0,662.0,0.57,0.691,0.278,176.0,1
74.16,398.3,30.3,71.4,4.8,101.9,4.56,0.352,0.797,233.0,2
12.55,49.58,28.8,82.1,12.2,88.8,12.11,0.078,0.099,4235.0,0
7.34,35.61,36.6,59.1,13.0,84.8,8.46,0.301,0.071,364.0,0
41.22,216.82,23.7,99.1,0.0,190.4,4.79,0.039,0.434,3933.0,1
61.83,232.3,42.7,74.9,7.7,82.5,0.68,0.153,0.465,181.0,1
0.86,4.13,23.6,45.9,1.9,58.7,1.75,0.516,0.008,567.0,1
3.1,11.64,39.8,44.8,42.1,281.4,4.42,0.088,0.023,5292.0,0
7.33,29.16,23.0,80.7,5.9,880.4,1.97,0.693,0.058,1648.0,0
54.96,349.6,36.3,97.0,0.3,809.4,0.45,0.318,0.699,3098.0,2
2.48,9.0,25.6,51.4,9.2,279.0,11.8,0.169,0.018,921.0,0
32.17,185.71,30.7,87.1,13.7,106.9,15.84,0.603,0.371,2543.0,1
34.25,244.02,31.0,87.3,5.0,363.1,3.92,0.662,0.488,4068.0,1
9.78,31.84,29.7,69.0,7.2,365.5,0.79,0.008,0.064,2448.0,0
2.41,18.29,39.4,86.7,25.9,466.1,3.72,0.053,0.037,1802.0,0
